source,"Amasya, Reino del Ponto","Andes, República Romana","Antananarivo, Madagascar",Arabia,Argentina,Austria,Belgium,Brazil,"Bucarest, Rumania",Buenos Aires,Bulgaria,Canadá,"Cartago, Túnez",Chile,China,Colombia,Cuba,Czech Republic,Denmark,Desconocido,"Dundee, Escocia","Edimburgo, Escocia","El Biar, Argelia",Escocia,Esparta,France,Frigia,Germany,Greece,Guatemala,"Guthrie, Kentucky, EE. UU.","Halicarnaso, Turquía","Helsinki, Finlandia","Highland Park, EE.UU.","Hipona, Imperio Romano",Hungary,"Iași, Rumania",Imperio Austrohúngaro,Imperio Austríaco,Imperio Medo,Imperio Romano,Imperio Ruso,Imperio Samánida,Imperio alemán,Ireland,Israel,Italy,Japan,Libia,Lidia,"Maesteg, Gales","Melbourne, Australia",Mexico,"Moscú, Imperio Ruso","Murray, Kentucky, EE. UU.",Netherlands,Nicaragua,"Oriol, Imperio Ruso",Peru,"Pikov, Ucrania",Poland,Protectorado español de Marruecos,Reino de Rumania,República Dominicana,"Rezekne, Letonia",Roma,"Ruse, Bulgaria",Russia,"San Petersburgo, Imperio Ruso","San Petesburgo, Imperio Ruso","Sherbrooke, Canadá","Sliven, Bulgaria","Sorochyntsi, Ucrania",Spain,"Swansea, Gales",Switzerland,"Timișoara, Rumania",Toulouse,United Kingdom,United States,Unión Soviética,Uruguay,"Viena, Imperio Austrohúngaro",Virreinato de Nueva Granada,Virreinato del Río de la Plata
Imperio alemán,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Libia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lidia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Maesteg, Gales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Melbourne, Australia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
