id,name,birth_year,death_year,birth_place_raw,country,region,period,wikidata,lifespan
henriquez_urenia,Pedro Henríquez Ureña,1884.0,1946.0,República Dominicana,República Dominicana,Other/Unknown,Long 19th Century,http://www.wikidata.org/entity/Q1153831,62.0
pedro_salinas,Pedro Salinas,1891.0,1951.0,España,Spain,Western Europe,Long 19th Century,http://www.wikidata.org/entity/Q379789,60.0
octavio_paz,Octavio Paz,1914.0,1998.0,México,Mexico,Latin America,World Wars Era,http://www.wikidata.org/entity/Q46739,84.0
lezama_lima,José Lezama Lima,1910.0,1976.0,Cuba,Cuba,Latin America,Long 19th Century,http://www.wikidata.org/entity/Q366949,66.0
juan_valera,Juan Valera,1824.0,1905.0,España,Spain,Western Europe,Revolutionary Era,http://www.wikidata.org/entity/Q463630,81.0
cornelio_agrippa,Heinrich Agrippa,1486.0,1535.0,Sacro Imperio Romano Germánico (actual Alemania),Germany,Western Europe,Renaissance,http://www.wikidata.org/entity/Q76568,49.0
antoine_berman,Antoine Berman,1942.0,1991.0,Francia,France,Western Europe,World Wars Era,http://www.wikidata.org/entity/Q2384842,49.0
george_steiner,George Steiner,1929.0,2020.0,Francia,France,Western Europe,World Wars Era,http://www.wikidata.org/entity/Q453288,91.0
leonard_forster,Leonard Forster,1913.0,1997.0,Inglaterra,United Kingdom,Western Europe,Long 19th Century,http://www.wikidata.org/entity/Q18762027,84.0
pieter_hooft,Pieter Hooft,1581.0,1647.0,República de los Países Bajos,Netherlands,Western Europe,Renaissance,http://www.wikidata.org/entity/Q10914484,66.0
cervantes,Miguel Cervantes,1547.0,1616.0,España,Spain,Western Europe,Renaissance,http://www.wikidata.org/entity/Q5682,69.0
john_milton,John Milton,1608.0,1674.0,Inglaterra,United Kingdom,Western Europe,Early Modern,http://www.wikidata.org/entity/Q79759,66.0
franz_rosenzweig,Franz Rosenzweig,1886.0,1929.0,Imperio alemán,Imperio alemán,Other/Unknown,Long 19th Century,http://www.wikidata.org/entity/Q76710,43.0
